cell_line,intracellular_net_flux_16_spearman_rho,uptake_excretion_13_spearman_rho
Caki-1,0.7653592030026578,0.4091966036822841
DLD1,0.7881481481481482,0.8480444964881525
HCT116,0.7239084144454538,0.6791703342160258
HT-1080,0.8148148148148148,0.4852854248437453
HepG2,0.7199999999999999,0.5941890715525543
Huh-1,0.748148148148148,0.4502214490602377
LS174T,0.6972614789443942,0.8643036216245621
MCF7,0.7357514968903692,0.7018093453565599
MiaPaCa2,0.8385185185185186,0.8396756363254405
Panc1,0.8391403343388781,0.4123523552140495
WiDr,0.8660254037844386,0.6876776256327274
