Model,sample,n_rxn,spearman_rho,spearman_p
No constraint,786O,27,0.4630713943858661,0.0149973216062471
No constraint,HOP62,27,0.5203395322553948,0.0053967159428226
No constraint,HOP92,27,0.4150400529469066,0.0313393780674922
No constraint,HS578T,27,0.3528456236477411,0.0710351380138869
No constraint,HT29,27,0.4070348293737466,0.035104232882398
No constraint,MALME3M,27,0.4963238615359149,0.0084590137786298
No constraint,MDAMB231,27,0.4636871808145707,0.0148463903456962
No constraint,NCIH226,27,0.5357341929730098,0.003976373512712
No constraint,RPMI8226,27,0.4236610629487711,0.0276555492703542
No constraint,SR786,27,0.474155550102549,0.0124665673545378
No constraint,UO31,27,0.5283447558285546,0.0046123209594715
RNA,786O,27,0.5597989264813457,0.0023951959985764
RNA,HOP62,27,0.637035789845375,0.000352653855875
RNA,HOP92,27,0.5947607639974101,0.0010680531964529
RNA,HS578T,27,0.5336749765788827,0.0041455946290154
RNA,HT29,27,0.4447291471490689,0.0201091978732065
RNA,MALME3M,27,0.6484672313346375,0.0002539847118613
RNA,MDAMB231,27,0.5868444665554925,0.0012926049804609
RNA,NCIH226,27,0.6574456743744016,0.0001944123279853
RNA,RPMI8226,27,0.6286738852586191,0.0004447067773013
RNA,SR786,27,0.4803134143895951,0.0112211848407537
RNA,UO31,27,0.5834348811550024,0.0014012454156678
RNA + media,786O,27,0.6838895180247239,8.389879669033336e-05
RNA + media,HOP62,27,0.7323977992911614,1.4047502660587034e-05
RNA + media,HOP92,27,0.7257727830982093,1.8324198835878192e-05
RNA + media,HS578T,27,0.7079028896158718,3.619936213651885e-05
RNA + media,HT29,27,0.6834079799405821,8.52572481647983e-05
RNA + media,MALME3M,27,0.7470947450963352,7.572041245260779e-06
RNA + media,MDAMB231,27,0.7703649092878604,2.601698860962399e-06
RNA + media,NCIH226,27,0.6252325694617691,0.0004883067487346
RNA + media,RPMI8226,27,0.7343328664708925,1.2979381199912596e-05
RNA + media,SR786,27,0.6096779188724156,0.000735356968504
RNA + media,UO31,27,0.5909396959163636,0.0011718144912633
RNA + media + kcat,786O,27,0.7205873446160571,2.2444628914431083e-05
RNA + media + kcat,HOP62,27,0.751890542721184,6.133508046651021e-06
RNA + media + kcat,HOP92,27,0.7562803362245688,5.0367504072809125e-06
RNA + media + kcat,HS578T,27,0.7297941675881533,1.5608312287592985e-05
RNA + media + kcat,HT29,27,0.6902048288081398,6.77740905511467e-05
RNA + media + kcat,MALME3M,27,0.6840203526824643,8.353302902632784e-05
RNA + media + kcat,MDAMB231,27,0.7795110116374724,1.652088276956795e-06
RNA + media + kcat,NCIH226,27,0.6168571391304407,0.0006103621155088
RNA + media + kcat,RPMI8226,27,0.7715896547716249,2.4511377429070614e-06
RNA + media + kcat,SR786,27,0.7477071178382175,7.372940580786255e-06
RNA + media + kcat,UO31,27,0.6205398683192792,0.0005537584606012
RNA + kcat + media + mutation,786O,27,0.7205873446160571,2.2444628914431083e-05
RNA + kcat + media + mutation,HOP62,27,0.751890542721184,6.133508046651021e-06
RNA + kcat + media + mutation,HOP92,27,0.7562803362245688,5.0367504072809125e-06
RNA + kcat + media + mutation,HS578T,27,0.7297941675881533,1.5608312287592985e-05
RNA + kcat + media + mutation,HT29,27,0.6902048288081398,6.77740905511467e-05
RNA + kcat + media + mutation,MALME3M,27,0.6840203526824643,8.353302902632784e-05
RNA + kcat + media + mutation,MDAMB231,27,0.7795110116374724,1.652088276956795e-06
RNA + kcat + media + mutation,NCIH226,27,0.6168571391304407,0.0006103621155088
RNA + kcat + media + mutation,RPMI8226,27,0.7734267729972716,2.239944075782434e-06
RNA + kcat + media + mutation,SR786,27,0.7477071178382175,7.372940580786255e-06
RNA + kcat + media + mutation,UO31,27,0.6205398683192792,0.0005537584606012
