Rxn ID,metabolite,sample,metabolite_value,fba_value,measured_log10_abs,predicted_log10_abs
MAR09135,L-lactate,HT29,1.392205968,9.885783975318905,0.1437034942479551,0.9950111164414716
MAR09087,ornithine,HT29,0.007885861,0.6096289213966566,-2.1031503315547555,-0.2149344306977013
MAR09133,pyruvate,HT29,2.51e-07,0.0,-6.583359492661719,-8.0
MAR09067,glycine,HT29,-0.000802262,0.0,-3.0956783647932578,-8.0
MAR09061,alanine,HT29,0.056209087,4.502231291687759,-1.2501933915984913,0.653427803073702
MAR09259,AKG,HT29,2.25e-05,0.0,-4.64762450499948,-8.0
MAR09292,L-carnitine,HT29,-1.19e-05,0.0,-4.924088238517222,-8.0
MAR09083,choline,HT29,-0.002044274,-0.050464749289903,-2.689458770442878,-1.2970117939319163
MAR09045,tryptophan,HT29,-0.001211726,-0.0213325005041746,-2.916591989272107,-1.6709580318477228
MAR09042,methionine,HT29,-0.006100296,-0.0486049533588653,-2.214648379615737,-1.3133193799289764
MAR09034,glucose,HT29,-0.891204517,-6.3506511152901925,-0.0500226161042262,0.8028182553114237
MAR09039,isoleucine,HT29,-0.013615722,-0.0973255986897399,-1.8659590054429929,-1.011772871454973
MAR09062,asparagine,HT29,-0.00571363,-0.0811162967329891,-2.243087126735712,-1.0908918312109015
MAR09046,valine,HT29,-0.01330341,-0.1455811727995682,-1.8760366976648424,-0.8368947564408514
MAR09066,arginine,HT29,-0.027206388,-0.1107237433231327,-1.5653289529748968,-0.9557592008868
MAR09040,leucine,HT29,-0.01834798,-0.1984818220153903,-1.73641150523866,-0.7022792401178362
MAR09146,folate,HT29,4.25e-05,-0.4483902161240261,-4.3715088950328775,-0.34834386259505
MAR09064,tyrosine,HT29,-0.007986935,-0.061679237248399,-2.0976193062121693,-1.209860935181831
MAR09070,aspartate,HT29,-0.001934168,0.0,-2.7135035608318407,-8.0
MAR09068,proline,HT29,0.000605661,0.0,-3.2177632201975017,-8.0
MAR09041,lysine,HT29,-0.022543147,-0.1556607802980245,-1.6469852643470988,-0.8078207689457098
MAR09063,glutamine,HT29,-0.226698917,-0.1228118370006901,-0.6445505354494945,-0.9107597371129348
MAR09043,phenylalanine,HT29,-0.006567123,-0.0823222734052374,-2.1826241881312898,-1.0844825918833634
MAR09069,serine,HT29,-0.0325857,-0.2879138823198272,-1.4869728118565706,-0.5407373791918044
MAR09044,threonine,HT29,-0.013603744,-0.1233686615519524,-1.8663412301213,-0.9087951117736344
MAR09071,glutamate,HT29,0.02678411,-6.059262005034366,-1.572122617927385,0.7824197326951222
MAR13082,biomass,HT29,0.035730055,0.404093510336509,-1.4469661937299518,-0.3935181134392144
MAR09135,L-lactate,HOP62,0.679121284,9.403643797035084,-0.1680526519191893,0.973296170477481
