sample,Source,Tissue,Cancer,UMAP1,UMAP2,pca_n,umap_seed
TCGA-PK-A5H9-01,TCGA Tumor,adrenal,ACC,-15.897858,4.028787,30,42
TCGA-OR-A5LT-01,TCGA Tumor,adrenal,ACC,-15.852171,3.7274957,30,42
TCGA-OR-A5LN-01,TCGA Tumor,adrenal,ACC,-15.741608,3.635577,30,42
TCGA-OR-A5JB-01,TCGA Tumor,adrenal,ACC,-15.860062,3.996603,30,42
TCGA-OR-A5LG-01,TCGA Tumor,adrenal,ACC,-15.746725,3.6105983,30,42
TCGA-OR-A5J8-01,TCGA Tumor,adrenal,ACC,-15.918689,4.1061673,30,42
TCGA-OR-A5JV-01,TCGA Tumor,adrenal,ACC,-15.806298,4.018771,30,42
TCGA-OU-A5PI-01,TCGA Tumor,adrenal,ACC,-16.047915,3.7856407,30,42
TCGA-OR-A5KO-01,TCGA Tumor,adrenal,ACC,-15.68139,3.793531,30,42
TCGA-OR-A5K8-01,TCGA Tumor,adrenal,ACC,-15.823202,3.6989844,30,42
TCGA-OR-A5JP-01,TCGA Tumor,adrenal,ACC,-15.741484,3.63772,30,42
TCGA-OR-A5L9-01,TCGA Tumor,adrenal,ACC,-5.0485473,4.1962314,30,42
TCGA-OR-A5J2-01,TCGA Tumor,adrenal,ACC,-16.042149,4.030907,30,42
TCGA-OR-A5JX-01,TCGA Tumor,adrenal,ACC,-15.178569,3.1974313,30,42
TCGA-PA-A5YG-01,TCGA Tumor,adrenal,ACC,-15.863335,3.988126,30,42
TCGA-OR-A5LD-01,TCGA Tumor,adrenal,ACC,-5.094951,4.2097297,30,42
TCGA-OR-A5LL-01,TCGA Tumor,adrenal,ACC,-16.222578,3.86049,30,42
TCGA-OR-A5KW-01,TCGA Tumor,adrenal,ACC,-15.771824,3.8825595,30,42
TCGA-OR-A5J9-01,TCGA Tumor,adrenal,ACC,-15.681567,3.7571397,30,42
TCGA-OR-A5J6-01,TCGA Tumor,adrenal,ACC,-15.622611,3.8223689,30,42
TCGA-OR-A5K3-01,TCGA Tumor,adrenal,ACC,-15.569752,3.570573,30,42
TCGA-OR-A5JJ-01,TCGA Tumor,adrenal,ACC,-16.189325,3.9239526,30,42
TCGA-OR-A5LJ-01,TCGA Tumor,adrenal,ACC,-15.700174,3.6518807,30,42
TCGA-OR-A5JM-01,TCGA Tumor,adrenal,ACC,-15.026711,2.782647,30,42
TCGA-PK-A5HB-01,TCGA Tumor,adrenal,ACC,-15.973404,4.072184,30,42
TCGA-OR-A5JF-01,TCGA Tumor,adrenal,ACC,-15.942818,4.0205536,30,42
TCGA-OR-A5JR-01,TCGA Tumor,adrenal,ACC,-15.705962,3.8742704,30,42
TCGA-OR-A5K9-01,TCGA Tumor,adrenal,ACC,-15.613228,3.663092,30,42
TCGA-OR-A5LM-01,TCGA Tumor,adrenal,ACC,-15.715252,3.697074,30,42
TCGA-OR-A5KZ-01,TCGA Tumor,adrenal,ACC,-15.863301,4.1170835,30,42
TCGA-PK-A5H8-01,TCGA Tumor,adrenal,ACC,-15.473917,3.4754577,30,42
TCGA-OR-A5J7-01,TCGA Tumor,adrenal,ACC,-15.796627,4.045894,30,42
TCGA-P6-A5OG-01,TCGA Tumor,adrenal,ACC,-16.095102,3.8144445,30,42
TCGA-OR-A5K1-01,TCGA Tumor,adrenal,ACC,-15.923148,4.1199827,30,42
TCGA-OR-A5JO-01,TCGA Tumor,adrenal,ACC,-16.188906,3.878963,30,42
TCGA-OR-A5KY-01,TCGA Tumor,adrenal,ACC,-15.642352,3.6714838,30,42
TCGA-OR-A5KU-01,TCGA Tumor,adrenal,ACC,-16.2045,3.7030756,30,42
TCGA-OR-A5JW-01,TCGA Tumor,adrenal,ACC,-15.696641,3.8334925,30,42
TCGA-OR-A5L3-01,TCGA Tumor,adrenal,ACC,-15.571276,3.576217,30,42
TCGA-OR-A5JS-01,TCGA Tumor,adrenal,ACC,-15.56464,3.5779438,30,42
TCGA-OR-A5JA-01,TCGA Tumor,adrenal,ACC,-15.685534,3.7252502,30,42
TCGA-OR-A5J5-01,TCGA Tumor,adrenal,ACC,-15.377965,3.3014085,30,42
TCGA-OR-A5JL-01,TCGA Tumor,adrenal,ACC,-16.177937,3.8054621,30,42
TCGA-OR-A5JZ-01,TCGA Tumor,adrenal,ACC,-16.288157,3.7002678,30,42
TCGA-OR-A5JI-01,TCGA Tumor,adrenal,ACC,-15.829346,3.7350178,30,42
TCGA-OR-A5LE-01,TCGA Tumor,adrenal,ACC,-15.783637,4.0058446,30,42
TCGA-OR-A5LA-01,TCGA Tumor,adrenal,ACC,-15.80206,3.803027,30,42
TCGA-PK-A5HA-01,TCGA Tumor,adrenal,ACC,-16.128958,3.8200834,30,42
TCGA-OR-A5JQ-01,TCGA Tumor,adrenal,ACC,-16.025488,4.112589,30,42
TCGA-OR-A5L5-01,TCGA Tumor,adrenal,ACC,-16.200663,3.756183,30,42
TCGA-OR-A5J3-01,TCGA Tumor,adrenal,ACC,-15.725864,3.7372472,30,42
TCGA-OR-A5LP-01,TCGA Tumor,adrenal,ACC,-16.26438,3.7012782,30,42
TCGA-OR-A5LS-01,TCGA Tumor,adrenal,ACC,-16.242796,3.9084258,30,42
TCGA-OR-A5LH-01,TCGA Tumor,adrenal,ACC,-15.820521,4.1258335,30,42
TCGA-OR-A5JT-01,TCGA Tumor,adrenal,ACC,-15.796991,3.750995,30,42
TCGA-OR-A5JG-01,TCGA Tumor,adrenal,ACC,-15.569083,3.6221762,30,42
TCGA-OR-A5JC-01,TCGA Tumor,adrenal,ACC,-15.892918,3.6914518,30,42
TCGA-OR-A5LO-01,TCGA Tumor,adrenal,ACC,-15.598192,3.56709,30,42
TCGA-OR-A5JE-01,TCGA Tumor,adrenal,ACC,-15.640263,3.8021302,30,42
TCGA-OR-A5L8-01,TCGA Tumor,adrenal,ACC,-15.599683,3.746557,30,42
TCGA-OR-A5LC-01,TCGA Tumor,adrenal,ACC,-15.604068,3.7259502,30,42
TCGA-OR-A5KX-01,TCGA Tumor,adrenal,ACC,-13.85509,2.1288955,30,42
TCGA-OR-A5K5-01,TCGA Tumor,adrenal,ACC,-15.697808,3.8436642,30,42
TCGA-OR-A5K4-01,TCGA Tumor,adrenal,ACC,-15.529215,3.5569043,30,42
TCGA-OR-A5J1-01,TCGA Tumor,adrenal,ACC,-15.596896,3.6356478,30,42
TCGA-OR-A5LB-01,TCGA Tumor,adrenal,ACC,-15.9127035,3.7152443,30,42
TCGA-OR-A5JY-01,TCGA Tumor,adrenal,ACC,-15.74164,3.9918067,30,42
TCGA-OR-A5K0-01,TCGA Tumor,adrenal,ACC,-15.75182,3.9634955,30,42
TCGA-OR-A5L6-01,TCGA Tumor,adrenal,ACC,-15.764303,3.7056084,30,42
TCGA-OR-A5KV-01,TCGA Tumor,adrenal,ACC,-15.253924,3.2493339,30,42
TCGA-OR-A5K6-01,TCGA Tumor,adrenal,ACC,-15.660194,3.7634058,30,42
TCGA-P6-A5OF-01,TCGA Tumor,adrenal,ACC,-15.796263,3.9082482,30,42
TCGA-OR-A5LK-01,TCGA Tumor,adrenal,ACC,-15.940012,3.6502104,30,42
TCGA-OR-A5JK-01,TCGA Tumor,adrenal,ACC,-15.789293,3.8055367,30,42
TCGA-OR-A5JD-01,TCGA Tumor,adrenal,ACC,-15.61788,3.7790616,30,42
