sample,Group,Cancer,UMAP1,UMAP2,pca_n,umap_seed
TCGA-B2-5641-11,TCGA Normal,KIRC,20.39351,4.242249,30,42
TCGA-BP-4765-01,KIRC tumor,KIRC,22.569305,-3.071146,30,42
TCGA-CZ-5459-01,KIRC tumor,KIRC,19.847172,0.8644679,30,42
TCGA-CZ-5468-11,TCGA Normal,KIRC,19.916384,4.3043246,30,42
TCGA-CJ-6030-11,TCGA Normal,KIRC,20.574053,4.7578187,30,42
TCGA-BP-4775-01,KIRC tumor,KIRC,18.743223,0.14541505,30,42
TCGA-CJ-6028-01,KIRC tumor,KIRC,22.103987,-2.6218839,30,42
TCGA-CZ-5456-01,KIRC tumor,KIRC,23.586409,-2.996763,30,42
TCGA-A3-3383-01,KIRC tumor,KIRC,22.1195,-0.9079146,30,42
TCGA-B0-5117-01,KIRC tumor,KIRC,22.383081,3.9579353,30,42
TCGA-GK-A6C7-01,KIRC tumor,KIRC,21.429335,-2.78606,30,42
TCGA-CJ-5672-01,KIRC tumor,KIRC,20.267498,-2.5304406,30,42
TCGA-B0-4700-11,TCGA Normal,KIRC,20.944921,4.5160127,30,42
TCGA-B0-4714-01,KIRC tumor,KIRC,19.25562,-1.156405,30,42
TCGA-B0-5694-01,KIRC tumor,KIRC,23.225603,-1.2742077,30,42
TCGA-B0-5075-01,KIRC tumor,KIRC,20.601234,-2.2281816,30,42
TCGA-CZ-4860-01,KIRC tumor,KIRC,20.734407,-3.1775703,30,42
TCGA-BP-4998-01,KIRC tumor,KIRC,22.42414,-2.7361069,30,42
TCGA-CJ-5675-01,KIRC tumor,KIRC,20.927559,-3.4421988,30,42
TCGA-CJ-4897-01,KIRC tumor,KIRC,18.117426,-0.2931177,30,42
TCGA-B8-5549-11,TCGA Normal,KIRC,19.951841,3.7482817,30,42
TCGA-CZ-4862-01,KIRC tumor,KIRC,22.54064,-3.2658424,30,42
TCGA-BP-4762-01,KIRC tumor,KIRC,22.429922,-2.0165644,30,42
TCGA-BP-4352-01,KIRC tumor,KIRC,23.09068,-0.5951613,30,42
TCGA-B2-4098-01,KIRC tumor,KIRC,21.839638,1.1845771,30,42
TCGA-B0-5697-01,KIRC tumor,KIRC,19.961697,0.65317005,30,42
TCGA-BP-4766-01,KIRC tumor,KIRC,21.525644,-2.7889152,30,42
TCGA-BP-4981-01,KIRC tumor,KIRC,22.843002,0.177912,30,42
TCGA-AK-3428-01,KIRC tumor,KIRC,20.182451,-2.9409516,30,42
TCGA-BP-4340-01,KIRC tumor,KIRC,18.05699,-0.49396482,30,42
TCGA-MM-A84U-01,KIRC tumor,KIRC,23.217491,-1.7151704,30,42
TCGA-B0-5095-01,KIRC tumor,KIRC,22.554438,-1.7806345,30,42
TCGA-BP-4167-01,KIRC tumor,KIRC,20.528378,-2.0198555,30,42
TCGA-BP-4781-01,KIRC tumor,KIRC,22.36258,-0.800926,30,42
TCGA-B0-5699-01,KIRC tumor,KIRC,22.518291,-1.9559209,30,42
TCGA-BP-4801-01,KIRC tumor,KIRC,20.282372,-2.7670326,30,42
TCGA-B0-4828-01,KIRC tumor,KIRC,22.2572,2.5085158,30,42
TCGA-CZ-5465-11,TCGA Normal,KIRC,20.881805,4.2583733,30,42
TCGA-BP-5008-01,KIRC tumor,KIRC,20.95046,2.7935638,30,42
TCGA-DV-A4W0-01,KIRC tumor,KIRC,22.519846,-2.261335,30,42
TCGA-CZ-5461-11,TCGA Normal,KIRC,20.463848,3.8238864,30,42
TCGA-BP-5170-01,KIRC tumor,KIRC,20.371561,-2.7686765,30,42
TCGA-A3-3363-01,KIRC tumor,KIRC,21.782463,2.225733,30,42
TCGA-B2-5633-01,KIRC tumor,KIRC,21.037064,2.4617589,30,42
TCGA-BP-4982-01,KIRC tumor,KIRC,18.856094,-0.849772,30,42
TCGA-CZ-4864-11,TCGA Normal,KIRC,19.327095,4.4486036,30,42
TCGA-B4-5836-01,KIRC tumor,KIRC,18.007528,-0.2878353,30,42
TCGA-CJ-4905-01,KIRC tumor,KIRC,18.363739,-0.37724197,30,42
TCGA-BP-5174-01,KIRC tumor,KIRC,19.703491,-1.4773732,30,42
TCGA-B0-4697-01,KIRC tumor,KIRC,22.728956,0.33110273,30,42
TCGA-BP-4759-01,KIRC tumor,KIRC,23.354818,-3.1925325,30,42
TCGA-CJ-4918-01,KIRC tumor,KIRC,19.279465,0.38466284,30,42
TCGA-B8-5545-01,KIRC tumor,KIRC,22.352129,-1.7337589,30,42
TCGA-BP-4334-01,KIRC tumor,KIRC,23.411354,3.338154,30,42
TCGA-B2-3923-01,KIRC tumor,KIRC,21.796705,4.2889075,30,42
TCGA-DV-A4VX-01,KIRC tumor,KIRC,22.874685,-0.28577605,30,42
TCGA-CJ-5679-01,KIRC tumor,KIRC,22.91283,-2.79795,30,42
TCGA-BP-4789-01,KIRC tumor,KIRC,21.348837,-3.6230843,30,42
TCGA-CJ-4923-01,KIRC tumor,KIRC,23.266981,-1.3180403,30,42
TCGA-BP-4159-01,KIRC tumor,KIRC,23.22081,-2.6496227,30,42
TCGA-CJ-5680-01,KIRC tumor,KIRC,21.63496,2.9962318,30,42
TCGA-B0-5705-11,TCGA Normal,KIRC,19.767792,4.158185,30,42
TCGA-A3-A8OW-01,KIRC tumor,KIRC,20.401747,-3.0605328,30,42
TCGA-CW-5589-01,KIRC tumor,KIRC,20.748636,-1.8119576,30,42
TCGA-A3-3385-01,KIRC tumor,KIRC,21.096037,-3.5233834,30,42
TCGA-A3-3343-01,KIRC tumor,KIRC,18.260527,-0.3773764,30,42
TCGA-MM-A564-01,KIRC tumor,KIRC,23.35939,-1.3758457,30,42
