sample,Group,Cancer,UMAP1,UMAP2,pca_n,umap_seed
TCGA-D5-6929-01,COAD tumor,COAD,-2.5593362,3.246397,30,42
TCGA-AA-3511-01,COAD tumor,COAD,-2.1082304,2.9759445,30,42
TCGA-QG-A5YX-01,COAD tumor,COAD,-1.3267795,0.810483,30,42
TCGA-F4-6704-11,COAD normal,COAD,-3.5136068,0.47960407,30,42
TCGA-CM-6164-01,COAD tumor,COAD,-2.4662473,2.0234454,30,42
TCGA-A6-A567-01,COAD tumor,COAD,-0.7740214,2.2400608,30,42
TCGA-AA-3516-11,COAD normal,COAD,-3.7071576,-0.349799,30,42
TCGA-G4-6320-01,COAD tumor,COAD,-0.60089546,-3.624621,30,42
TCGA-AY-A69D-01,COAD tumor,COAD,-2.198462,2.7496157,30,42
TCGA-AY-A8YK-01,COAD tumor,COAD,-1.7327046,3.665473,30,42
TCGA-F4-6806-01,COAD tumor,COAD,-1.671978,2.371503,30,42
TCGA-5M-AAT4-01,COAD tumor,COAD,-1.1085653,3.185195,30,42
TCGA-CM-6167-01,COAD tumor,COAD,-2.6270874,2.865759,30,42
TCGA-AZ-6603-01,COAD tumor,COAD,-0.57441646,-0.2439355,30,42
TCGA-CM-6168-01,COAD tumor,COAD,-1.710368,0.2991301,30,42
TCGA-G4-6314-01,COAD tumor,COAD,-1.831181,1.5377765,30,42
TCGA-F4-6808-01,COAD tumor,COAD,-2.644369,3.5854933,30,42
TCGA-AZ-4615-01,COAD tumor,COAD,-1.4393685,-0.076455936,30,42
TCGA-AY-6386-01,COAD tumor,COAD,-2.7407715,3.01758,30,42
TCGA-AZ-6598-01,COAD tumor,COAD,-1.3940206,-0.41753554,30,42
TCGA-A6-6653-01,COAD tumor,COAD,-2.0868657,-0.5439486,30,42
TCGA-NH-A50V-01,COAD tumor,COAD,-2.6879256,3.450387,30,42
TCGA-AD-6899-01,COAD tumor,COAD,-2.66912,0.9265815,30,42
TCGA-G4-6311-01,COAD tumor,COAD,-0.8524075,0.12161446,30,42
TCGA-A6-2683-11,COAD normal,COAD,-3.8407254,-0.096257806,30,42
TCGA-DM-A280-01,COAD tumor,COAD,-0.5913893,0.5622529,30,42
TCGA-NH-A6GC-01,COAD tumor,COAD,-2.0179927,1.2486297,30,42
TCGA-F4-6570-01,COAD tumor,COAD,-1.3404722,-0.6820782,30,42
TCGA-CM-6679-01,COAD tumor,COAD,-2.6390545,2.3184812,30,42
TCGA-A6-4105-01,COAD tumor,COAD,-0.7235638,1.1740745,30,42
TCGA-D5-5538-01,COAD tumor,COAD,-1.0206507,0.43769887,30,42
TCGA-NH-A50U-01,COAD tumor,COAD,-1.6315695,2.113768,30,42
TCGA-D5-6924-01,COAD tumor,COAD,-0.8871688,0.91870445,30,42
TCGA-D5-6931-01,COAD tumor,COAD,-2.697568,3.6888945,30,42
TCGA-A6-5656-01,COAD tumor,COAD,-2.379039,3.1161733,30,42
TCGA-A6-6649-01,COAD tumor,COAD,-4.1275334,1.6043042,30,42
TCGA-AA-3518-11,COAD normal,COAD,-3.5458343,0.07106092,30,42
TCGA-DM-A0X9-01,COAD tumor,COAD,-1.7923622,3.3248844,30,42
TCGA-DM-A28G-01,COAD tumor,COAD,-1.5436847,3.7148952,30,42
TCGA-F4-6703-01,COAD tumor,COAD,-2.6058517,1.7530084,30,42
TCGA-AA-3492-01,COAD tumor,COAD,-1.5835983,-0.3310026,30,42
TCGA-G4-6293-01,COAD tumor,COAD,-2.0478954,3.2540176,30,42
TCGA-AA-3531-11,COAD normal,COAD,-3.4312613,-0.66434914,30,42
TCGA-DM-A28E-01,COAD tumor,COAD,-1.6335993,3.5466695,30,42
TCGA-CK-6747-01,COAD tumor,COAD,-2.177327,2.532202,30,42
TCGA-CK-4947-01,COAD tumor,COAD,-0.8366507,0.5013842,30,42
TCGA-AD-6888-01,COAD tumor,COAD,-1.3208529,2.5218353,30,42
TCGA-F4-6809-01,COAD tumor,COAD,-0.16305107,0.16249749,30,42
TCGA-CK-5914-01,COAD tumor,COAD,-1.0420243,3.2674282,30,42
TCGA-AZ-4313-01,COAD tumor,COAD,-0.5389013,-3.7782197,30,42
TCGA-G4-6588-01,COAD tumor,COAD,-3.5650733,2.5722394,30,42
TCGA-G4-6309-01,COAD tumor,COAD,-3.587755,2.194734,30,42
TCGA-CM-5868-01,COAD tumor,COAD,-1.0282382,0.23501085,30,42
TCGA-F4-6855-01,COAD tumor,COAD,-2.9167354,1.9488137,30,42
TCGA-AD-6964-01,COAD tumor,COAD,-1.720753,0.28767288,30,42
TCGA-G4-6295-01,COAD tumor,COAD,-2.2700675,3.6424463,30,42
TCGA-D5-5539-01,COAD tumor,COAD,-1.3000278,-0.3756113,30,42
TCGA-AA-3506-01,COAD tumor,COAD,-1.6056513,0.13516673,30,42
TCGA-A6-5661-01,COAD tumor,COAD,-4.080054,1.657725,30,42
TCGA-RU-A8FL-01,COAD tumor,COAD,-0.87849224,3.1703587,30,42
TCGA-5M-AATE-01,COAD tumor,COAD,-0.5512161,2.2194598,30,42
