subsystem,GNN,GNN_mean_rank,GNN_mean_score,GNN_mean_n_reactions,XGBoost,XGBoost_mean_rank,XGBoost_mean_score,XGBoost_mean_n_reactions,combined_support
Glycolysis / Gluconeogenesis,100,1.72,0.0355651221532537,44.0,100,12.18,2.737635667586456,23.0,200
Fatty acid biosynthesis (even-chain),70,13.314285714285717,0.0044624875979285,32.0,100,1.21,15.588306472301484,2.0,170
"Valine, leucine, and isoleucine metabolism",77,8.974025974025974,0.0095665474905232,50.0,87,14.804597701149426,2.538145779575214,13.0,164
Glutathione metabolism,39,10.64102564102564,0.0058101409462615,17.0,99,4.94949494949495,5.119734827316169,7.0,138
Pentose phosphate pathway,48,5.083333333333333,0.0210609204302228,25.0,79,14.08860759493671,2.605826277403703,16.0,127
Carnitine shuttle (cytosolic),65,9.476923076923075,0.0080418494824355,57.0,61,11.327868852459016,3.0189912213435246,19.0,126
Cholesterol biosynthesis 1 (Bloch pathway),30,16.266666666666666,0.0024382184990391,27.0,90,10.055555555555555,3.188177641784703,3.0,120
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,89,4.719101123595506,0.0197891344759465,34.0,24,16.25,2.4134512537986867,18.0,113
Oxidative phosphorylation,12,9.166666666666666,0.0092301274913913,10.0,100,12.61,2.683182199820876,8.0,112
Starch and sucrose metabolism,23,10.826086956521738,0.0066947986979917,38.0,83,13.337349397590362,2.70288673964849,3.0,106
Fatty acid elongation (even-chain),6,16.833333333333332,0.0036942108876157,20.0,100,2.63,9.521434849340183,13.0,106
Pentose and glucuronate interconversions,6,15.666666666666666,0.0025754116566283,16.0,100,2.91,7.660655794143676,1.0,106
Tryptophan metabolism,75,6.973333333333334,0.0115715869354933,17.0,27,17.77777777777778,2.267937400458772,3.0,102
Fatty acid activation (cytosolic),3,16.333333333333332,0.0014323603655122,67.0,96,8.09375,4.009207237718834,6.0,99
Fatty acid oxidation,0,,,,95,8.052631578947368,3.5788886584509587,35.0,95
Heparan sulfate degradation,50,7.64,0.0085808638880302,30.0,44,13.272727272727272,2.8380426790452367,3.0,94
ROS detoxification,23,14.0,0.0040121921629923,10.0,70,16.15714285714286,2.4133253528755536,7.0,93
Acylglycerides metabolism,73,4.917808219178082,0.0171523170469913,21.0,8,10.75,2.98894963786006,4.0,81
"Glycine, serine and threonine metabolism",68,11.970588235294118,0.0049666773604062,63.0,11,18.363636363636363,2.250799030968637,15.0,79
Aminoacyl-tRNA biosynthesis,78,5.705128205128205,0.0156709364480656,21.0,0,,,,78
Pyrimidine metabolism,75,8.773333333333333,0.0080626065590262,76.0,2,19.0,2.0632807108409263,34.0,77
Pool reactions,69,13.942028985507246,0.0036534330233026,48.0,2,8.5,3.874750435352325,6.0,71
Nicotinate and nicotinamide metabolism,3,18.0,0.0017270866584336,36.0,68,11.632352941176473,3.013313227132255,6.0,71
Fatty acid biosynthesis,1,15.0,0.0010721193235146,75.0,69,15.101449275362318,2.504009856179008,26.0,70
Miscellaneous,61,10.344262295081966,0.0068057749575581,78.0,0,,,,61
Purine metabolism,54,10.22222222222222,0.0061654282751764,109.0,6,15.666666666666666,2.3336806147297224,50.0,60
Fatty acid elongation (odd-chain),57,8.736842105263158,0.0088959235874959,12.0,0,,,,57
Arachidonic acid metabolism,48,11.604166666666666,0.0055225481714669,138.0,2,14.5,2.655628684908152,16.0,50
Fatty acid desaturation (even-chain),49,12.081632653061224,0.0049387034007779,12.0,0,,,,49
Glyoxylate and dicarboxylate metabolism,0,,,,49,13.285714285714286,2.7376906385227127,1.0,49
Nucleotide metabolism,48,15.625,0.0028991032109168,125.0,0,,,,48
Cysteine and methionine metabolism,35,12.8,0.0050155098742595,46.0,10,12.8,2.8220697186887262,4.0,45
Prostaglandin biosynthesis,1,19.0,0.0017580204651196,71.0,43,10.046511627906977,3.226482040937557,5.0,44
Beta oxidation of poly-unsaturated fatty acids (mitochondrial),43,9.116279069767442,0.0075327534236847,22.0,0,,,,43
Cholesterol biosynthesis 2,19,12.052631578947368,0.0073475321813807,4.0,24,14.666666666666666,2.569645548860232,3.0,43
Thiamine metabolism,42,15.166666666666666,0.0037242583124398,7.0,0,,,,42
Vitamin B6 metabolism,41,8.75609756097561,0.0092302832430652,11.0,0,,,,41
Arginine and proline metabolism,0,,,,40,17.2,2.3275412841485097,13.0,40
Beta oxidation of even-chain fatty acids (mitochondrial),0,,,,40,11.05,3.369692656480604,9.0,40
"Alanine, aspartate and glutamate metabolism",36,14.61111111111111,0.0035432750982344,41.0,3,19.0,2.339454479289777,11.0,39
Glycerophospholipid metabolism,1,20.0,0.0009702298579205,102.0,37,16.62162162162162,2.370507137677926,48.0,38
Amino sugar and nucleotide sugar metabolism,9,10.666666666666666,0.0240743320447387,38.0,28,11.107142857142858,3.3861024070303047,7.0,37
Carnitine shuttle (endoplasmic reticular),0,,,,37,4.756756756756757,10.141541430575622,2.0,37
Vitamin D metabolism,35,11.342857142857143,0.0050386222180742,34.0,0,,,,35
Heme degradation,33,11.484848484848484,0.0049001486229968,3.0,0,,,,33
Carnitine shuttle (mitochondrial),19,17.210526315789473,0.0020847914879286,112.0,10,12.8,2.886911051285764,24.0,29
Sphingolipid metabolism,0,,,,26,13.115384615384617,2.9004290409258795,18.0,26
Pantothenate and CoA metabolism,22,13.409090909090908,0.0040530855919877,25.0,3,17.0,2.344330865603227,13.0,25
Butanoate metabolism,6,18.83333333333333,0.001670486630744,9.0,19,15.157894736842104,2.489556612152802,2.0,25
Fatty acid biosynthesis (odd-chain),24,16.625,0.0025114418635993,29.0,0,,,,24
Biopterin metabolism,23,16.782608695652176,0.0033307944371588,27.0,0,,,,23
Cholesterol metabolism,0,,,,23,10.91304347826087,3.34319780572601,3.0,23
Fatty acid metabolism,1,17.0,0.0009908231005159,51.0,20,8.3,7.969291639328003,1.0,21
Vitamin E metabolism,20,16.65,0.0033176335748111,51.0,0,,,,20
Phenylalanine metabolism,8,4.125,0.0231339193447455,6.0,10,8.8,3.855881977081298,1.0,18
Fatty acid biosynthesis (unsaturated),5,17.4,0.001225564234213,32.0,13,8.23076923076923,4.079116428356904,20.0,18
Fructose and mannose metabolism,1,19.0,0.0013245931333533,23.0,17,11.588235294117649,3.094576914520825,3.0,18
Vitamin A metabolism,16,12.6875,0.0045735954913656,10.0,0,,,,16
Cholesterol biosynthesis 3 (Kandustch-Russell pathway),15,15.333333333333334,0.0025591441167022,16.0,0,,,,15
Sulfur metabolism,15,16.0,0.0025464052384311,10.0,0,,,,15
"Phenylalanine, tyrosine and tryptophan biosynthesis",12,15.916666666666666,0.0019911353082668,157.0,2,14.5,2.556648169051517,11.0,14
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),13,14.153846153846152,0.0033164410329709,21.0,0,,,,13
