reaction_id,reaction_name,subsystem,reaction_layer,source_model,active_group_count,active_groups,n_genes,annotated_genes,ensembl_gene_ids,civicmine_biomarker_rows,civicmine_citation_count,civicmine_prognostic_rows,civicmine_diagnostic_rows,civicmine_predictive_rows,civicmine_predictive_drug_rows,civicmine_unique_drugs,civicmine_unique_cancers,dgidb_interactions,dgidb_unique_drugs,dgidb_approved_drugs,dgidb_publication_pmids,dgidb_max_interaction_score,drugbank_source_interactions,drugbank_source_unique_drugs,opentargets_cancer_assoc_count_top200,opentargets_cancer_max_score_top200,opentargets_cancer_unique_clinical_drugs,opentargets_unique_clinical_drugs,opentargets_cancer_clinical_candidate_rows,matched_civicmine_biomarker_rows,matched_civicmine_predictive_drug_rows,matched_civicmine_active_groups,matched_opentargets_cancer_assoc_count_top200,matched_opentargets_cancer_max_score_top200,matched_opentargets_cancer_clinical_candidate_rows,matched_opentargets_cancer_unique_clinical_drugs,matched_opentargets_active_groups,matched_civicmine_biomarker_rows_present,matched_civicmine_predictive_drug_rows_present,matched_opentargets_cancer_max_score_top200_present,matched_opentargets_cancer_unique_clinical_drugs_present,dgidb_unique_drugs_present,dgidb_approved_drugs_present,drugbank_source_unique_drugs_present,cancer_matched_evidence_score,drug_interaction_evidence_score,total_binary_annotation_score,display_label,rank_score
MAR08971,Glucose 6-Phosphate Dehydrogenase,Pentose phosphate pathway,Cancer-specific,GNN,3,"BLCA,PAAD,TGCT",1,G6PD,ENSG00000160211,48.0,104.0,41.0,4.0,3.0,3.0,3.0,22.0,100.0,100.0,79.0,73.0,2.92341271929759,1.0,1.0,49.0,0.2771128021982917,0.0,0.0,0.0,4,0,BLCA,1,0.0283270639287334,0,0,BLCA,1,0,1,0,1,1,1,2,3,5,G6PD PPP | G6PD,526.1414645471081
MAR02591,Acetyl-CoA:carnitine O-acetyltransferase,Carnitine shuttle (cytosolic),Cancer-specific,XGBoost,3,"BLCA,KIRC,LIHC",3,"CPT1A, CPT1B, CPT1C","ENSG00000110090, ENSG00000169169, ENSG00000205560",36.0,48.0,32.0,3.0,1.0,1.0,1.0,14.0,47.0,47.0,30.0,1.0,4.015676812221964,1.0,1.0,150.0,0.155773072485968,0.0,2.0,0.0,7,0,"BLCA,KIRC,LIHC",17,0.0946084697008877,0,0,"BLCA,KIRC,LIHC",1,0,1,0,1,1,1,2,3,5,Carnitine acetyltransfer | CPT,525.6634287461649
MAR02742,palmitoyl-CoA:L-carnitine O-palmitoyltransferase,Carnitine shuttle (cytosolic),Cancer-specific,GNN,1,BLCA,3,"CPT1A, CPT1B, CPT1C","ENSG00000110090, ENSG00000169169, ENSG00000205560",36.0,48.0,32.0,3.0,1.0,1.0,1.0,14.0,47.0,47.0,30.0,1.0,4.015676812221964,1.0,1.0,150.0,0.155773072485968,0.0,2.0,0.0,2,0,BLCA,4,0.0325230272122537,0,0,BLCA,1,0,1,0,1,1,1,2,3,5,palmitoyl-CoA:L-carnitine O-p... | CPT,524.5825994931532
MAR02714,MAR02714,Carnitine shuttle (cytosolic),Cancer-specific,GNN,1,LIHC,3,"CPT1A, CPT1B, CPT1C","ENSG00000110090, ENSG00000169169, ENSG00000205560",36.0,48.0,32.0,3.0,1.0,1.0,1.0,14.0,47.0,47.0,30.0,1.0,4.015676812221964,1.0,1.0,150.0,0.155773072485968,0.0,2.0,0.0,1,0,LIHC,5,0.0873281117606037,0,0,LIHC,1,0,1,0,1,1,1,2,3,5,Carnitine shuttle | CPT,524.177134385045
MAR04375,"D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)",Glycolysis / Gluconeogenesis,Cancer-specific,XGBoost,3,"STAD,TGCT,THCA",3,"ALDOA, ALDOB, ALDOC","ENSG00000109107, ENSG00000136872, ENSG00000149925",63.0,95.0,62.0,1.0,0.0,0.0,0.0,14.0,16.0,16.0,2.0,0.0,10.4407597117771,2.0,2.0,223.0,0.1236324492081236,0.0,0.0,0.0,7,0,STAD,9,0.0967619686883966,0,0,"STAD,TGCT,THCA",1,0,1,0,1,1,1,2,3,5,"ALDO | ALDOA, ALDOB, A...",523.3280538303479
MAR00709,palmitoyl-CoA hydrolase,Fatty acid biosynthesis,Cancer-specific,XGBoost,2,"COAD,STAD",9,"ACOT1, ACOT2, ACOT4, ACOT6, ACOT7, BAAT, EGFL8, PPT1, PPT2","ENSG00000097021, ENSG00000119673, ENSG00000131238, ENSG00000136881, ENSG00000177465, ENSG00000184227, ENSG00000205669, ENSG00000221988, ENSG00000241404",39.0,42.0,37.0,2.0,0.0,0.0,0.0,7.0,14.0,14.0,7.0,3.0,26.10189927944276,0.0,0.0,250.0,0.1024177210550706,0.0,0.0,0.0,4,0,"COAD,STAD",25,0.0533652652243126,0,0,"COAD,STAD",1,0,1,0,1,1,0,2,2,4,Acyl-CoA hydrolysis | ACOT/PPT,423.788879454114
MAR00872,Beta Oxidation of Long Chain Fatty Acid,Fatty acid oxidation,Cancer-specific,XGBoost,1,KIRP,4,"ACAA1, ACOX1, EHHADH, HSD17B4","ENSG00000060971, ENSG00000113790, ENSG00000133835, ENSG00000161533",32.0,38.0,25.0,3.0,4.0,4.0,4.0,6.0,32.0,32.0,13.0,0.0,1.631368704965172,0.0,0.0,168.0,0.0980008940577705,0.0,0.0,0.0,1,0,KIRP,11,0.0739159709369403,0,0,KIRP,1,0,1,0,1,1,0,2,2,4,"Beta Oxidation of Long Chain... | ACAA, ACOX, EHH...",423.3822045101752
MAR00974,Beta Oxidation of Long Chain Fatty Acid,Fatty acid oxidation,Cancer-specific,XGBoost,1,KIRP,4,"ACAA1, ACOX1, EHHADH, HSD17B4","ENSG00000060971, ENSG00000113790, ENSG00000133835, ENSG00000161533",32.0,38.0,25.0,3.0,4.0,4.0,4.0,6.0,32.0,32.0,13.0,0.0,1.631368704965172,0.0,0.0,168.0,0.0980008940577705,0.0,0.0,0.0,1,0,KIRP,11,0.0739159709369403,0,0,KIRP,1,0,1,0,1,1,0,2,2,4,LCFA beta-oxidation | ACAA/ACOX,423.3822045101752
MAR01030,arachidonate:oxygen 12-oxidoreductase,Arachidonic acid metabolism,Cancer-specific,Both,4,"LUAD,LUSC,PAAD,TGCT",1,ALOX12,ENSG00000108839,10.0,12.0,8.0,0.0,0.0,0.0,0.0,5.0,31.0,31.0,7.0,2.0,3.367987003799066,1.0,1.0,78.0,0.1906573631668044,0.0,1.0,0.0,0,0,,4,0.0238608621711342,0,0,"LUAD,LUSC,PAAD",0,0,1,0,1,1,1,1,3,4,arachidonate:oxygen 12-oxidor... | ALOX12,412.27944154167983
MAR04388,(S)-Lactate:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,Cancer-specific,GNN,4,"LUAD,OV,PRAD,THCA",5,"LDHA, LDHAL6A, LDHAL6B, LDHB, LDHC","ENSG00000111716, ENSG00000134333, ENSG00000166796, ENSG00000166800, ENSG00000171989",120.0,201.0,110.0,9.0,1.0,1.0,1.0,34.0,2.0,2.0,0.0,2.0,52.20379855888553,0.0,0.0,207.0,0.3152089630662908,0.0,1.0,0.0,25,0,"LUAD,OV,PRAD,THCA",25,0.1095875272808154,0,0,"LUAD,OV,PRAD,THCA",1,0,1,0,1,0,0,2,1,3,"(S)-Lactate:NAD+ oxidoreductase | LDHA, LDHAL6A...",323.4580965380215
