adrenal,bladder,colon,kidney,liver,lung,ovarian,pancreas,prostate,stomach,testis,thyroid,cancer_group,group,matched_tissue
0.99060836,0.918990558,0.899243921,0.760712031,0.871609304,0.943134396,0.933419891,0.869167684,0.851143345,0.885978702,0.940169139,0.95278333,ACC,low_regional,adrenal
0.923689212,0.993173377,0.940876049,0.795053832,0.822135129,0.885304925,0.879589906,0.918767528,0.81924484,0.929994412,0.884908601,0.893578332,BLCA,high_regional,bladder
0.867261686,0.914456615,0.985468063,0.899302967,0.836773162,0.890240356,0.875701605,0.975720411,0.834450117,0.987608838,0.879528098,0.902330699,COAD,high_regional,colon
0.771238332,0.828207501,0.897423866,0.976259458,0.853754272,0.792201382,0.790734256,0.852060102,0.734861235,0.892828805,0.778794029,0.821144296,KIRC,low_regional,kidney
0.738509261,0.799703824,0.883754797,0.989953349,0.833849607,0.779348072,0.767360175,0.856385462,0.741250795,0.885067718,0.766361185,0.803453276,KIRP,low_regional,kidney
0.83577766,0.812005442,0.845501277,0.81952722,0.99654959,0.919381146,0.934656806,0.809218426,0.796984755,0.824858985,0.88974583,0.911092373,LIHC,low_regional,liver
0.900174052,0.862790602,0.881792265,0.766628371,0.920869738,0.995784423,0.978868924,0.85887878,0.874046434,0.867480094,0.956575798,0.98022096,LUAD,high_regional,lung
0.917327707,0.872283165,0.88795624,0.767577441,0.915939978,0.998216288,0.979838533,0.863560569,0.880706913,0.872835394,0.95013456,0.982523559,LUSC,high_regional,lung
0.882342064,0.847827139,0.876666668,0.768299716,0.919722365,0.989550126,0.973780659,0.859544994,0.873444611,0.863704963,0.952137385,0.972987976,OV,high_regional,ovarian
0.880255199,0.924010586,0.979986647,0.868404546,0.827205447,0.893283422,0.874359913,0.991604766,0.84233764,0.982205673,0.883169607,0.89521794,PAAD,high_regional,pancreas
0.81026017,0.792697891,0.818267006,0.74530019,0.796502073,0.883547816,0.857468216,0.817690956,0.994314223,0.807830162,0.850163866,0.888135443,PRAD,low_regional,prostate
0.871195409,0.919155091,0.990017022,0.902027178,0.831649532,0.883483067,0.864633167,0.976862554,0.828795116,0.993068768,0.878620171,0.89694214,STAD,high_regional,stomach
0.933989161,0.890039909,0.892614359,0.768474882,0.884976202,0.961906949,0.935868566,0.877918567,0.875314383,0.881836092,0.981695782,0.969068121,TGCT,high_regional,testis
0.916302219,0.87077259,0.897323048,0.792809361,0.912726611,0.987110865,0.965763386,0.858638643,0.884373158,0.880397273,0.953083489,0.997746697,THCA,low_regional,thyroid
