id,name,direction,original_lb,original_ub,HOP92,HS578T,MDAMB231
MAR03905,ethanol:NAD+ oxidoreductase,forward,0.0,1000.0,17.399115300244986,18.576092166420093,17.666847202383078
MAR03907,Ethanol:NADP+ oxidoreductase,forward,0.0,1000.0,10.337511799042272,10.97447612557056,10.192349636366115
MAR04097,Acetate:CoA ligase (AMP-forming),forward,0.0,1000.0,10.610335209282784,10.552722107906776,10.127296082289218
MAR04099,Acetate:CoA ligase (AMP-forming),forward,0.0,1000.0,9.912496104339878,5.237595832959922,8.310648556404082
MAR04108,acetyl adenylate:CoA acetyltransferase,forward,0.0,1000.0,10.123073484949026,10.065475500321822,9.640181904937728
MAR04133,ATP:acetate adenylyltransferase,forward,0.0,1000.0,10.70291644003494,10.645301000042991,10.2198544857776
MAR04281,(S)-Lactate:NAD+ oxidoreductase,forward,-1000.0,1000.0,21.70189730155186,22.7886087462441,22.897412949681915
MAR04281_REV,(S)-Lactate:NAD+ oxidoreductase_REV,reverse,-1000.0,1000.0,24.273187702883348,25.309556646941303,25.437068892613468
MAR04388,(S)-Lactate:NAD+ oxidoreductase,forward,-1000.0,1000.0,21.702330542519736,22.788671581844707,22.897439236428134
MAR04388_REV,(S)-Lactate:NAD+ oxidoreductase_REV,reverse,-1000.0,1000.0,24.27362755986986,25.30963072533472,25.43709472413334
MAR04283,Acetaldehyde:NADP+ oxidoreductase,forward,0.0,1000.0,11.595092401547795,8.612274514416429,10.173594742535508
MAR08357,Acetaldehyde:NAD+ oxidoreductase,forward,0.0,1000.0,12.4509161033346,11.249201814267964,12.455775257402053
MAR04379,ATP:D-fructose-6-phosphate 1-phosphotransferase,forward,0.0,1000.0,11.61753479105493,12.125299760268408,11.50512456045936
MAR04301,UTP:D-fructose-6-phosphate 1-phosphotransferase,forward,0.0,1000.0,11.65302170134736,12.16454295100138,11.5445411068955
MAR04355,"sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",forward,0.0,1000.0,15.502824536705072,9.228207328371168,12.618344095161456
MAR04358,ATP:pyruvate 2-O-phosphotransferase,forward,0.0,1000.0,18.238702118408472,18.586480031358235,18.96251154396112
MAR04360,2-Oxopropanal:NADP+ oxidoreductase,forward,0.0,1000.0,6.457113914069096,6.149147841025638,6.276827525274832
MAR04363,2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming),forward,-1000.0,1000.0,23.472011026577537,24.10344101078953,23.97842322122716
MAR04363_REV,2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)_REV,reverse,-1000.0,1000.0,23.16776536656549,23.79849688473561,23.673626775367456
MAR04365,"D-phosphoglycerate 2,3-phosphomutase",forward,-1000.0,1000.0,16.59603000612783,16.3571011131695,16.878180269599664
MAR04365_REV,"D-phosphoglycerate 2,3-phosphomutase_REV",reverse,-1000.0,1000.0,16.5373711933825,16.30951647533988,16.819119980316085
MAR04368,ATP:3-phospho-D-glycerate 1-phosphotransferase,forward,-1000.0,1000.0,15.407672811863398,15.749857332004025,15.541689234159174
MAR04368_REV,ATP:3-phospho-D-glycerate 1-phosphotransferase_REV,reverse,-1000.0,1000.0,15.592971051329334,15.935156150557164,15.7269795757914
MAR04370,3-Phospho-D-glyceroyl phosphate phosphohydrolase,forward,0.0,1000.0,12.730544939725709,12.813212306904498,13.878063586031212
MAR04371,"3-phospho-D-glycerate 1,2-phosphomutase",forward,0.0,1000.0,16.473124583871282,16.256431111822955,16.75450108755596
MAR04372,"2,3-bisphospho-D-glycerate 2-phosphohydrolase",forward,0.0,1000.0,13.180753063357718,13.264258699766382,14.331060835304203
MAR04373,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating),forward,-1000.0,1000.0,19.0564422630653,19.892051554875653,19.83057913308892
MAR04373_REV,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)_REV,reverse,-1000.0,1000.0,19.24400975190084,20.079619185177187,20.01814671819056
MAR04375,"D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)",forward,-1000.0,1000.0,21.0337581992463,21.6833076417944,21.43446847712632
MAR04375_REV,"D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)_REV",reverse,-1000.0,1000.0,22.63762667626689,23.285460196751856,23.036783834631823
MAR04377,"D-Fructose-1,6-bisphosphate 1-phosphohydrolase",forward,0.0,1000.0,7.951973419263851,2.418130705020296,11.29644244400302
MAR04381,D-glucose-6-phosphate aldose-ketose-isomerase,forward,-1000.0,1000.0,19.536822685395705,20.155690630466925,20.08119659627671
MAR04381_REV,D-glucose-6-phosphate aldose-ketose-isomerase_REV,reverse,-1000.0,1000.0,19.777349933559755,20.396217980231125,20.32172393599001
MAR04391,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase,forward,-1000.0,1000.0,27.84467078020969,28.928669729051823,28.531954154019747
MAR04391_REV,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase_REV,reverse,-1000.0,1000.0,29.43650848878935,30.520507439744478,30.123791864115223
MAR04394,ATP:D-glucose 6-phosphotransferase,forward,0.0,1000.0,14.8134990050946,14.660256046637656,14.508714635194956
MAR04396,"alpha-D-glucose 1,6-phosphomutase",forward,-1000.0,1000.0,14.32439266806994,14.831941714335253,14.886548787427447
MAR04396_REV,"alpha-D-glucose 1,6-phosphomutase_REV",reverse,-1000.0,1000.0,14.388984530152722,14.894130471594252,14.950844565271652
MAR04521,D-Glucose-6-phosphate phosphohydrolase,forward,0.0,1000.0,12.34355462561046,11.867668429357996,12.342862576697629
MAR06412,acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase,forward,0.0,1000.0,10.099044433282437,10.49089928511455,11.46415443978097
MAR07745,D-glucose 1-epimerase,forward,-1000.0,1000.0,8.198552461035412,4.572065805847827,7.052697630875186
MAR07745_REV,D-glucose 1-epimerase_REV,reverse,-1000.0,1000.0,18.17539092011181,14.491917426796348,17.023553443532645
MAR07747,ADP:D-glucose 6-phosphotransferase,forward,0.0,1000.0,9.7749722053803,9.1350716869105,9.778849435982949
MAR08360,,forward,0.0,1000.0,17.813124259254675,17.886965176265747,18.803974995051327
MAR08652,,forward,0.0,1000.0,14.846067772791596,14.37011175342284,14.845404318016618
MAR08757,,forward,0.0,1000.0,1.1767860758388726,1.40900805647024,3.871272421710132
MAR03989,maltose glucohydrolase,forward,0.0,1000.0,11.3921618816701,10.1747282151703,9.86000347640772
MAR04122,UDP-glucose:NAD+ 6-oxidoreductase,forward,0.0,1000.0,9.417667657393505,12.164614861143187,9.450754737230993
MAR04837,"alpha,alpha-trehalose glucohydrolase",forward,0.0,1000.0,6.041434277984981,7.859854913058895,5.112141202626961
MAR05395,UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase,forward,0.0,1000.0,4.903231934224891,3.835562807993024,2.9991975673038707
MAR05396,,forward,0.0,1000.0,8.467327503341581,9.822293513214968,7.977719676766171
MAR09727,,forward,0.0,1000.0,8.568594455756458,10.074800160040695,8.27832944348243
MAR05397,,forward,0.0,1000.0,9.024801015592404,11.63075395651992,9.73587779306472
MAR05398,,forward,0.0,1000.0,10.453417403472756,10.752172834185885,10.84832544360749
MAR05399,,forward,0.0,1000.0,5.996162364094646,5.617688472960316,6.045404773752903
MAR05400,,forward,0.0,1000.0,5.996162364094646,5.617688472960316,6.045404773752903
MAR05401,,forward,0.0,1000.0,10.453417403472756,10.752172834185885,10.84832544360749
MAR08568,,forward,0.0,1000.0,4.135386411104302,1.2912722738555324,3.867556298935656
MAR08569,,forward,0.0,1000.0,4.135386411104302,1.2912722738555324,3.867556298935656
MAR08570,,forward,0.0,1000.0,4.109721028890943,1.2758561027225443,3.8421814346881713
MAR08571,,forward,0.0,1000.0,4.109721028890943,1.2758561027225443,3.8421814346881713
MAR08572,,forward,0.0,1000.0,4.130650176936929,1.2884501361963336,3.8628728672471566
MAR08573,,forward,0.0,1000.0,4.130650176936929,1.2884501361963336,3.8628728672471566
MAR08574,,forward,0.0,1000.0,4.128169078010938,1.2869703412587057,3.860421685779861
MAR08575,,forward,0.0,1000.0,4.128169078010938,1.2869703412587057,3.860421685779861
MAR08576,,forward,0.0,1000.0,3.784810022085889,1.090871621554505,3.522110235998308
MAR08577,,forward,0.0,1000.0,3.784810022085889,1.090871621554505,3.522110235998308
MAR08578,,forward,0.0,1000.0,4.120811871231414,1.2825455939571235,3.8531575346033913
MAR08579,,forward,0.0,1000.0,4.120811871231414,1.2825455939571235,3.8531575346033913
MAR08581,,forward,0.0,1000.0,4.1148921153566,1.2790197782729853,3.8473119177741184
MAR08591,,forward,0.0,1000.0,7.679744020179815,9.47950100175422,8.275861688371885
MAR08592,,forward,0.0,1000.0,11.304878048053109,8.8431460561785,9.306836280158157
MAR08580,,forward,0.0,1000.0,4.1148921153566,1.2790197782729853,3.8473119177741184
MAR08582,,forward,0.0,1000.0,4.110250438385906,1.2761442356990111,3.84274299151271
MAR08587,maltose glucohydrolase,forward,0.0,1000.0,7.665810422658663,9.462013354692765,8.262077609255744
MAR08589,maltose glucohydrolase,forward,0.0,1000.0,11.278732849987684,8.817047896138337,9.280722323301088
MAR08583,"1,4-alpha-D-Glucan glucohydrolase",forward,0.0,1000.0,0.796231641905707,5.673686651573793,0.1351050851309137
MAR08584,,forward,0.0,1000.0,0.0248847414384321,0.0439734476670487,0.028496883593837
MAR08585,3-phospho-D-glyceroyl-phosphate:alpha-D-glucose-1-phosphate 6-phosphotransferase,forward,0.0,1000.0,7.46156313494262,9.90448144188139,8.036745347244304
MAR03944,UTP:alpha-D-glucose-1-phosphate uridylyltransferase,forward,0.0,1000.0,11.721410635644624,12.654140856694433,11.843940622539115
MAR04128,UDP-glucose 4-epimerase,forward,-1000.0,1000.0,12.087017218703709,9.89164077675374,11.810126792361268
MAR04128_REV,UDP-glucose 4-epimerase_REV,reverse,-1000.0,1000.0,12.087017218703709,9.89164077675374,11.810126792361268
MAR04130,,forward,0.0,1000.0,8.14821841537749,7.30531756499625,7.030214511848293
MAR04131,UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase,forward,-1000.0,1000.0,7.246062591247209,7.063423386309865,8.23254191419843
MAR04131_REV,UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase_REV,reverse,-1000.0,1000.0,7.246062591247209,7.063423386309865,8.23254191419843
MAR04132,UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase,forward,0.0,1000.0,7.246062591247209,7.063423386309865,8.23254191419843
MAR04303,sucrose glucohydrolase,forward,0.0,1000.0,11.47360457098818,10.177006485948194,9.909717667083044
MAR04414,ATP:alpha-D-galactose 1-phosphotransferase,forward,0.0,1000.0,8.515325833883498,7.771346685814677,7.201654970863333
MAR04415,Lactose galactohydrolase,forward,0.0,1000.0,0.0321809182933587,0.0297995663390295,0.2165976125172944
MAR04416,Galactosylglycerol galactohydrolase,forward,0.0,1000.0,14.371831129482068,12.953790957821916,13.821464773820962
MAR04774,CTP:D-tagatose 6-phosphate 1-phosphotransferase,forward,-1000.0,1000.0,11.534322530441669,12.022712275693456,11.412613981373491
MAR04774_REV,CTP:D-tagatose 6-phosphate 1-phosphotransferase_REV,reverse,-1000.0,1000.0,11.833998015587763,12.356048414044016,11.721120828010768
MAR04775,ITP:D-tagatose 6-phosphate 1-phosphotransferase,forward,-1000.0,1000.0,11.85637337506508,12.377460860960728,11.739068321044565
MAR04775_REV,ITP:D-tagatose 6-phosphate 1-phosphotransferase_REV,reverse,-1000.0,1000.0,11.601415720006155,12.091234573792578,11.472029086952013
MAR04831,Lactose:(acceptor) 3-oxidoreductase,forward,-1000.0,1000.0,29.43650848878935,31.01548913891323,30.123791864115223
MAR04831_REV,Lactose:(acceptor) 3-oxidoreductase_REV,reverse,-1000.0,1000.0,29.43650848878935,31.01548913891323,30.123791864115223
MAR04832,3-Ketolactose galactohydrolase,forward,-1000.0,1000.0,0.0329205779649582,0.0304850683763496,0.2212656789121622
MAR04832_REV,3-Ketolactose galactohydrolase_REV,reverse,-1000.0,1000.0,0.0327261609761162,0.0303048840416162,0.220039924638474
MAR07674,UDP-alpha-D-galactose:D-glucose 4-beta-D-galactosyltransferase,forward,0.0,1000.0,5.98241271753477,7.060901273533209,5.810909170957505
MAR08761,ATP:D-tagatose 6-phosphotransferase,forward,0.0,1000.0,5.167355862752929,3.670000986130982,5.039139893225316
MAR08762,,forward,-1000.0,1000.0,22.48484173421467,23.13399153794379,22.885189923539738
MAR08762_REV,_REV,reverse,-1000.0,1000.0,19.214240233035703,19.86274223723233,19.6140030297648
MAR08764,,forward,0.0,1000.0,0.0321809182933587,0.0297995663390295,0.2165976125172944
MAR08766,galactitol:NADP+ 1-oxidoreductase,forward,-1000.0,1000.0,13.7634052088162,16.642633946693216,16.755282494368338
MAR08766_REV,galactitol:NADP+ 1-oxidoreductase_REV,reverse,-1000.0,1000.0,13.65225189807944,16.803750229422434,16.912669386748764
MAR08767,UTP:alpha-D-galactose-1-phosphate uridylyltransferase,forward,0.0,1000.0,7.441845866553148,7.259042809261931,8.428926362583264
MAR00454,ATP:D-glyceraldehyde 3-phosphotransferase,forward,0.0,1000.0,29.43650848878935,31.01548913891323,30.123791864115223
MAR04297,,forward,0.0,1000.0,2.388706470819156,2.3875007142668205,2.2699786515703524
MAR04310,ATP:D-fructose 1-phosphotransferase,forward,0.0,1000.0,5.167355862752929,3.670000986130982,5.039139893225316
MAR04315,D-Glucitol:NAD+ 2-oxidoreductase,forward,-1000.0,1000.0,10.33737024509528,8.83087485008857,10.491670385485603
